week,code,business,intent,title_zh,title_en,slug,status
1,T-A2,trade,C,外贸货款追收全流程：从催款函到仲裁裁决,International Debt Collection: From Demand Letter to Arbitral Award,trade-export-debt-collection-process,done
1,R-A2,recovery,C,律师函 vs 诉讼：哪种方式更适合你的欠款？,Demand Letter vs Lawsuit: Which Works for Your Debt,recovery-demand-letter-vs-lawsuit,done
1,L-A2,legacy,T,中国公民在海外去世，遗产如何处理？,Chinese Citizen Dies Abroad: Handling the Estate,legacy-chinese-citizen-dies-abroad,done
1,R-C20,recovery,T,中国判决在美国/加拿大如何执行？,Enforcing Chinese Judgments in the US and Canada,recovery-enforce-chinese-judgment-us-canada,done
2,T-A1,trade,T,海外客户拖欠货款怎么办？律师教你5步合法追收,What to Do When an Overseas Buyer Won't Pay: A 5-Step Legal Guide,trade-payment-recovery-5-steps,done
2,R-A1,recovery,T,欠款追收的黄金时间：为什么越早行动越有利,The Golden Window for Debt Recovery: Act Early,recovery-debt-collection-golden-window,done
2,L-A3,legacy,T,海外亲属去世，国内继承人如何办理继承？,Relative Dies Abroad: How Heirs in China Claim,legacy-relative-dies-abroad-china-heirs,done
2,R-B11,recovery,T,如何查到债务人在海外的资产？,How to Locate a Debtor's Overseas Assets,recovery-locate-debtor-overseas-assets,done
3,T-B9,trade,C,国际买卖合同审查清单：10个必改条款,International Sales Contract Review: 10 Clauses You Must Check,trade-contract-review-10-clauses,done
3,R-C22,recovery,C,仲裁裁决跨境执行：纽约公约实务指南,Enforcing Arbitral Awards: The New York Convention,recovery-enforce-arbitral-award-new-york-convention,done
3,L-B11,legacy,T,海外房产继承：美国/加拿大/澳洲房产如何过户？,"Inheriting Overseas Property: US, Canada, Australia",legacy-inheriting-overseas-property-us-canada-australia,done
3,R-D29,recovery,I,商业欺诈的常见类型：合同/投资/出口骗局,"Types of Commercial Fraud: Contracts, Investments, Exports",recovery-types-of-commercial-fraud-contracts-investments-exports,done
4,T-B10,trade,C,管辖条款与法律适用条款怎么谈才不吃亏？,Jurisdiction & Governing Law Clauses: How to Negotiate,trade-jurisdiction-governing-law-clauses-how-to-negotiate,done
4,R-C19,recovery,T,赢了官司拿不到钱？执行难的破解思路,Won the Case but No Money? Enforcement Strategies,recovery-won-the-case-but-no-money-enforcement-strategies,done
4,L-C20,legacy,T,中国公司股权继承：海外继承人如何办理？,Foreign Heirs Inheriting China Company Shares,legacy-foreign-heirs-inheriting-china-company-shares,done
